id,mode,start_timestamp,end_timestamp,miles,start_date,start_time,end_date,end_time
1580,/dbw_joy/ackermann_cmd,2017-04-26 16:50:00,2017-04-26 16:50:00,0.00117003,2017-04-26,16:50:00,2017-04-26,16:50:00
1581,/trajectory_follow/ackermann_cmd,2017-04-26 16:50:00,2017-04-26 17:01:00,0.306234,2017-04-26,16:50:00,2017-04-26,17:01:00
1582,/dbw_joy/ackermann_cmd,2017-04-26 17:01:00,2017-04-26 17:23:00,0.040424400000000006,2017-04-26,17:01:00,2017-04-26,17:23:00
1583,/trajectory_follow/ackermann_cmd,2017-04-26 17:23:00,2017-04-26 17:25:00,0.0622764,2017-04-26,17:23:00,2017-04-26,17:25:00
1584,/dbw_joy/ackermann_cmd,2017-04-26 17:25:00,2017-04-26 17:25:00,0.0240292,2017-04-26,17:25:00,2017-04-26,17:25:00
1585,/dbw_joy/ackermann_cmd,2017-04-26 22:35:00,2017-04-26 22:35:00,0.00439734,2017-04-26,22:35:00,2017-04-26,22:35:00
1586,/trajectory_follow/ackermann_cmd,2017-04-26 22:35:00,2017-04-26 22:40:00,0.186831,2017-04-26,22:35:00,2017-04-26,22:40:00
1587,/trajectory_follow/ackermann_cmd,2017-04-26 22:40:00,2017-04-26 22:43:00,0.063684,2017-04-26,22:40:00,2017-04-26,22:43:00
1588,/dbw_joy/ackermann_cmd,2017-04-26 22:43:00,2017-04-26 22:44:00,0.0,2017-04-26,22:43:00,2017-04-26,22:44:00
1589,/trajectory_follow/ackermann_cmd,2017-04-26 22:44:00,2017-04-26 22:45:00,0.08470599999999999,2017-04-26,22:44:00,2017-04-26,22:45:00
1590,/dbw_joy/ackermann_cmd,2017-04-26 22:45:00,2017-04-26 22:45:00,0.00977694,2017-04-26,22:45:00,2017-04-26,22:45:00
1591,/trajectory_follow/ackermann_cmd,2017-04-26 22:45:00,2017-04-26 22:45:00,0.042862800000000006,2017-04-26,22:45:00,2017-04-26,22:45:00
1592,/dbw_joy/ackermann_cmd,2017-04-26 22:45:00,2017-04-26 22:45:00,0.0131293,2017-04-26,22:45:00,2017-04-26,22:45:00
